"id","book","book_num","chapter","chapter_num","character","character_words","scene_description","writer","director","imdb_rating","new_scene","scene_id"
26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","[Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,10
26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","[Throwing a hand upward, a short jet of water shoots upward as well.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,10
28,"Water",1,"The Boy in the Iceberg",1,"Katara","Ever since mom died,  I've been doing all the work around camp while you've been off playing soldier!","[Points to herself.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,11
30,"Water",1,"The Boy in the Iceberg",1,"Sokka","Uh ... Katara ...","[Pointing to the iceberg behind her, his voice subdued by fright.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,12
31,"Water",1,"The Boy in the Iceberg",1,"Katara","I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!","[Close-up of a rage-fueled Katara as she continues her outburst, a finger pointed in Sokka's face.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,12
33,"Water",1,"The Boy in the Iceberg",1,"Sokka","Katara, settle down!","[In a screeching voice, his eyes open wide in fear.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,13
34,"Water",1,"The Boy in the Iceberg",1,"Katara","No that's it! I'm done helping you! From now on, you're on your own!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,13
36,"Water",1,"The Boy in the Iceberg",1,"Sokka","Okay, you've gone from ""weird"" to ""freakish"",  Katara.","[He releases her.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,14
37,"Water",1,"The Boy in the Iceberg",1,"Katara","You mean I did that?","[Astonished.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,14
38,"Water",1,"The Boy in the Iceberg",1,"Sokka","Yep.  Congratulations.","[Sarcastically, glancing at her and smirking.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,14
38,"Water",1,"The Boy in the Iceberg",1,"Sokka","Yep.  Congratulations.","[Nudging her with his elbow.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,14
40,"Water",1,"The Boy in the Iceberg",1,"Katara","He's alive! We have to help!",NA,"‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,15
42,"Water",1,"The Boy in the Iceberg",1,"Sokka","Katara, get back here!  We don't know what that thing is!","[He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,16
44,"Water",1,"The Boy in the Iceberg",1,"Zuko","Finally!  Uncle, do you realize what this means?!","[He turns around to face another person in uniform, who sits at a small table.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,17
45,"Water",1,"The Boy in the Iceberg",1,"Iroh","I won't get to finish my game?","[The man is playing some sort of card game. He answers calmly while looking over the tile he's holding toward his nephew.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,17
46,"Water",1,"The Boy in the Iceberg",1,"Zuko","It means my search is about to come to an end.","[Turning around again to face the light.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,17
48,"Water",1,"The Boy in the Iceberg",1,"Zuko","That light came from an incredibly powerful source!  It has to be him!","[Gestures at the light while facing his uncle again.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,18
48,"Water",1,"The Boy in the Iceberg",1,"Zuko","That light came from an incredibly powerful source!  It has to be him!","[The light dwindles and disappears.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,18
49,"Water",1,"The Boy in the Iceberg",1,"Iroh","Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","[With continuing disinterest and an air of skepticism.]","‎Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1,0,18
